name,rating,length
Billy Madison,PG-13,89
The Lord of the Rings: The Return of the King,PG-13,201
M3GAN 2.0,PG-13,120
The Lord of the Rings: The Two Towers,PG-13,179
Do the Right Thing,R,120
Dirty Dancing,PG-13,100
F1 The Movie,PG-13,155
Leo,PG,102
Tom & Jerry,PG,101
Storks,PG,87
Speed Racer,PG,135
Moonrise Kingdom,PG-13,94
Dolphin Tale,PG,113
Willy Wonka & the Chocolate Factory,G,100
A Christmas Story,No Rating,94
The Polar Express,G,100
Lost in Translation,R,102
Malice (1993),No Rating,107
Sonic the Hedgehog 3,PG,109
The Life Of Chuck,R,110
Marley (2012),PG-13,144
Jujutsu Kaisen: Hidden Inventory / Premature Death - The Movie,No Rating,110
The Lord of the Rings: The Fellowship of the Ring,PG-13,178
Ahmed W Ahmed,No Rating,135
The Secret Life of Pets,PG,87
Abraham's Boys: A Dracula Story,R,89
Minions: The Rise of Gru,PG,87
The Big Lebowski,R,117
The Lego Movie,TV-PG,100
Maalik,No Rating,152
The Life Coach,No Rating,96
Karate Kid: Legends,PG-13,118
Holiday Affair,No Rating,87
Superman,PG-13,129
The Blues Brothers,R,133
Kit Kittredge: An American Girl,G,101
The Phoenician Scheme,PG-13,101
Rikyu,No Rating,135
Smallfoot,PG,96
Kung Fu Panda 4,PG,94
Ballerina,R,126
Skillhouse,No Rating,99
Materialists,R,109
Mission: Impossible - The Final Reckoning,PG-13,169
Barbie,PG-13,114
The Goonies,PG,114
Notting Hill,PG-13,124
The Garfield Movie,PG,101
Clifford the Big Red Dog,PG,96
Jurassic World Rebirth,PG-13,133
Aankhon ki Gustaakhiyan,No Rating,140
Don't Let's Go To The Dogs Tonight,R,98
Shrek,PG,90
One Flew Over the Cuckoo's Nest 50th Anniversary,R,138
Wet Hot American Summer,R,97
Paddington in Peru,PG,106
Despicable Me 4,PG,94
The Lego Batman Movie,PG,104
Migration,PG,91
Wonka,PG,116
"Sorry, Baby",R,103
Sardaar Ji 3,No Rating,155
Batman Forever (1995),PG-13,121
The Neverending Story,PG,102
28 Years Later,R,115
Mamma Mia! (2008),PG-13,108
Eternal Sunshine of the Spotless Mind,R,108
The Muppet Movie,G,95
Paddington 2,PG,103
How to Train Your Dragon,PG,125
40 Acres,R,113
El,No Rating,92
Elio,PG,99
Lilo & Stitch,PG,108
The Wild Robot,PG,102
Where the Wild Things Are,PG,101
Meet the Parents,PG-13,108
Happy Feet,PG,108
Teenage Mutant Ninja Turtles: Mutant Mayhem,PG,99
Transformers One,PG,104
Sitaare Zameen Par,No Rating,155
Paranthu Po,No Rating,140
